file.hash.256,file.hash.md5,ip.port,url.domain,url.original
,,"""138.201.175.216:443""","""mofadividion.ptcl-gov.com""","""http://moitt.paknavy-govpk.info/22259257-moitt/file.rtf"""
,,"""208.93.103.123:80""","""mohgovsg.bahariafoundation.live""","""http://mohgovsg.bahariafoundation.live/5320/1/13/2/0/0/0/m/files-1ddf5195/file.rtf"""
,,"""208.93.103.123:443""","""moitt-gov-pk.dytt88.co""","""http://moitt-gov-pk.fia-gov.net/364896null/file.rtf"""
,,"""208.93.103.252:80""","""moitt-gov-pk.fia-gov.net""","""http://mofabn.ksewpk.com/5511/1/4993/2/0/0/0/m/files-18e5db65/file.rtf"""
,,"""208.93.103.252:443""","""moitt.paknavy-govpk.info""","""http://mofadividion.ptcl-gov.com/5724/1/3268/2/0/0/0/m/files-11e30891/file.rtf"""
,,"""54.69.132.108:80""","""moittadvisory.pmd-offc.info""","""http://mofa-gov.interior-pk.org/14419/1/6/2/0/0/0/m/files-07b01f9b/file.rtf"""
,,"""54.69.132.108:443""","""moma.com""","""http://mofa.iugur.live/2623/1/45326/2/0/0/0/files-5d797627/file.rtf"""
,,"""13.75.71.8:80""","""mora.pdfadobe.com""","""http://mofa-gov-pk.donwloaded.com/NegativeRepoting/b8dfd8db/file.rtf"""
,,"""13.75.71.8:443""","""cstc-spares-vip-163.dowmload.net""","""http://mofa-gov-pk.donwloaded.com/negativerepoting/b8dfd8db/file.rtf"""
,,"""213.108.110.219:80""","""cyber.pmd-offc.info""","""http://mofa-gov-sa.direct888.net/680225_consulategz/file.rtf"""
,,"""213.108.110.219:443""","""dbms.crclab-bahria.org""","""http://mofa-gov-pk.donwloaded.com/cg/016424/file.rtf"""
,,"""52.178.68.157:80""","""defence-lk.military-bd.org""","""http://mofa-gov-pk.donwloaded.com/CG/016424/file.rtf"""
,,"""52.178.68.157:443""","""defencelk.cvix.live""","""http://mofa-gov-pk.directt888.com/82890988/protocolhandbook/file.rtf"""
,,"""52.178.68.157:8081""","""dgmp-paknavy.mod-pk.com""","""http://mofa-gov-pk.donwloaded.com/40493692/updatedlist/file.rtf"""
,,"""52.178.68.157:8443""","""dgms.paknavy-gov.com""","""http://mofa-gov-pk.donwloaded.com/40493692/UpdatedList/file.rtf"""
,,"""172.67.161.31:80""","""dgpr.paknvay-pk.net""","""http://mofa-gov-np.fia-gob.net/notice/74b78aee/file.rtf"""
,,"""61.140.45.63:2376""","""efes-mindef-gov-pk.dowmload.org""","""http://mofa-gov-np.fia-gov.net/notice/74b78aee/file.rtf"""
,,"""47.109.142.20:2376""","""forecast.com""","""http://maritimepakistan.kpt-pk.net/5434/1/3694/2/0/0/0/m/files-ce32ed85/file.rtf"""
,,"""193.83.228.180:4444""","""heatwave.paknavy.store""","""http://ministryofforeignaffairs-mofa-gov-pk.dytt88.org/14444/1/2454/2/0/0/0/m/files-9ba90b7f/file.rtf"""
,,"""87.120.125.230:7581""","""investigation04.session-out.com""","""http://moemaldives.pmd-office.com/aa2076dc/circular/file.rtf"""
,,"""69.166.230.99:6606""","""invitation-letter.govpk.info""","""http://mailrta.mfagov.org/3818/1/53382/2/0/0/0/m/files-c78a6966/file.rtf"""
,,"""128.90.113.104:9999""","""karachishipyard.krlwin.org""","""http://maritimepakistan.kpt-pk.net/5434/1/&3694/2/0/0/0/m/files-ce32ed85/file.rtf"""
,,"""104.243.46.129:5555""","""kenaikan.portdedjibouti.live""","""http://mailnavybd.govpk.net/5845/1/12/2/0/0/0/m/files-ca78574e/file.rtf"""
,,"""94.156.167.42:7777""","""ksew.kpt-gov.org""","""http://mailnavymilbd.govpk.net/5848/1/13/2/0/0/0/m/files-57d837e4/file.rtf"""
,,"""34.66.4.137:7443""","""ksew.org""","""http://mailoutlookcom.cvix.live/2912/1/53734/2/0/0/0/m/files-74a3adce/file.rtf"""
,,"""91.107.219.231:8082""","""mail-dmp-navy-pk.dytt88.org""","""http://mailmfa.mofa-gov.info/letterhead-55228949/file.rtf"""
,,"""91.107.219.231:8089""","""mailaplf.cvix.live""","""http://mailmofagovmm.mofa.email/hybridwarfare-866394/file.rtf"""
,,"""23.94.153.130:8089""","""mailarmylk.mods.email""","""http://mailarmylk.mods.email/ltr86-1aadeec4/file.rtf"""
,,"""116.2.180.189:7443""","""mailmfa.mofa-gov.info""","""http://mailarmylk.mods.email/Ltr86-laadeec4/file.rtf"""
,,"""195.2.73.29:80""","""mailmofagovmm.mofa.email""","""http://mail-dmp-navy-pk.dytt88.org/14459/1/23/2/0/0/0/m/files-14333226/file.rtf"""
,,"""185.245.183.74:443""","""mailnavybd.govpk.net""","""http://mailaplf.cvix.live/2968/1/50390/2/0/0/0/m/files-7630e91a/file.rtf"""
,,"""76.71.30.145:80""","""bangladeshmarineacademylibrary.ppinewsagency.live""","""http://mailarmylk.mods.email/Ltr86-1aadeec4/file.rtf"""
,,"""79.110.49.160:60000""","""bdmil.alit.live""","""http://ksew.kpt-gov.org/5663/1/3275/2/0/0/0/m/files-937950ad/file.rtf"""
,,"""172.96.172.111:60000""","""behr.ppinewsagency.live""","""http://ksew.org/5471/1/1101/2/0/0/0/m/files-cd6e6dbd/file.rtf"""
,,"""206.119.178.163:60000""","""cabinet-division-pk.fia-gov.com""","""http://forecast.comsats-net.com/5760/1/5041/2/0/0/0/m/files-dd96433f/file.rtf"""
,,"""62.146.232.94:60000""","""cabinet-gov-pk.ministry-pk.net""","""http://invitation-letter.govpk.info/invitation_447093/file.rtf"""
,,"""95.216.211.124:3333""","""careitservices.paknvay-pk.net""","""http://karachishipyard.krlwin.org/14231/1/3025/2/0/0/0/m/files-5ad64a22/file.rtf"""
,,"""2.59.22.50:3333""","""cmm.int-secure.org""","""http://forecast.comsats-net.com/5760/1/5039/2/0/0/0/m/files-d7c7dda1/file.rtf"""
,,"""145.239.197.144:3333""","""cnmm.int-secure.org""","""http://forecast.comsats-net.com/5760/1/5040/2/0/0/0/m/files-f3b20b30/file.rtf"""
,,"""124.220.14.86:9205""","""commerce-gov-pk.directt888.com""","""http://forecast.comsats-net.com/5760/1/5037/2/0/0/0/m/files-3a06489f/file.rtf"""
,,"""62.164.222.99:8081""","""paknavy.mofa.live""","""http://forecast.comsats-net.com/5760/1/5038/2/0/0/0/m/files-4623b4d2/file.rtf"""
,,"""54.81.95.159:3333""","""alondrabowmanjake.com""","""http://forecast.comsats-net.com/5760/1/5034/2/0/0/0/m/files-e9745687/file.rtf"""
,,"""34.95.235.69:3333""","""rodgersluciecassy.com""","""http://forecast.comsats-net.com/5760/1/5035/2/0/0/0/m/files-4a0480ae/file.rtf"""
,,"""122.155.16.130:3333""","""events.api.mllcrosoft.com""","""http://forecast.comsats-net.com/5760/1/5036/2/0/0/0/m/files-2ad09cbd/file.rtf"""
,,"""77.105.137.76:3333""","""both-foundations.gl.at.ply.gg""","""http://dgms.paknavy-gov.com/5733/1/5051/2/0/0/0/m/files-73bdca4d/file.rtf"""
,,"""159.223.140.124:3333""","""quils.shop""","""http://dgpr.paknvay-pk.net/5330/1/1330/2/0/0/0/m/files-4d9d0395/file.rtf"""
,,"""18.192.206.155:3333""","""login.microsoft-onedrive.trunetkings.xyz.trunetkings.xyz""","""http://defencelk.cvix.live/3023/1/54082/2/0/0/0/m/files-0c31ed2d/file.rtf"""
,,"""49.13.167.67:3333""","""vm4.deneb.it""","""http://dgmp-paknavy.mod-pk.com/14325/1/10/2/0/0/0/m/files-5291bef6/file.rtf"""
,,"""78.46.177.92:443""","""cpcalendars.sumup.live""","""http://commerce-gov-pk.directt888.com/KPIs_fd3931ab/file.rtf"""
,,"""172.232.62.81:443""","""img6.mllcrosoft.com""","""http://cstc-spares-vip-163.dowmload.net/14668/1/1228/2/0/0/0/m/files-403a1120/file.rtf"""
,,"""45.43.163.22:443""","""gui.microsoft.upgrade1.zip""","""http://dbms.crclab-bahria.org/5397/1/1322/2/0/0/0/m/files-54cc58cd/file.rtf"""
,,"""47.242.37.176:5433""","""reporting.microsoft.upgrade1.zip""","""http://commerce-gov-pk.directt888.com/KPIs_fd3531ab/file.rtf"""
,,"""91.160.181.237:4782""","""events.api.upgrade1.zip""","""http://commerce-gov-pk.directt888.com/kpis_fd3531ab/file.rtf"""
,,"""20.117.118.95:443""","""sso.microsoft-onedrive.upgrade1.zip""","""http://cmm.int-secure.org/2557/1/51442/2/0/0/0/files-0a14cf32/file.rtf"""
